StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,frustrate diff-com_1,action diff-com_1,action diff-com_2,action diff-com_3,action diff-com_4,box diff-com,frustrate diff-non_1,action diff-non_1,action diff-non_2,action diff-non_3,action diff-non_4,box diff-non,Frustrate easy-com_1,Action easy-com_1,Action easy-com_2,Action easy-com_3,Action easy-com_4,box easy-com,frustrate easy-non_1,action easy-non_1,action easy-non_2,action easy-non_3,action easy-non_4,box easy-non
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,frustrate diff-com - How frustrated do you feel about the cheating in the scenario above?,action diff-com - How likely would you do something in the scenario above?,action diff-com - How likely would you report to the professor that this student cheated after class?,action diff-com - How likely would you anonymously report that this student cheated after class?,action diff-com - How likely would you confront the cheating student at the end of the exam to suggest they confess?,"Are there other actions that you might take and are not listed above? If so, please elaborate in the box below.",frustrate diff-non - How frustrated do you feel about the cheating in the scenario above?,action diff-non - How likely would you do something in the scenario above?,action diff-non - How likely would you report to the professor that this student cheated after class?,action diff-non - How likely would you anonymously report that this student cheated after class?,action diff-non - How likely would you confront the cheating student at the end of the exam to suggest they confess?,"Are there other actions that you might take and are not listed above? If so, please elaborate in the box below.",Frustrate easy-com - How frustrated do you feel about the cheating in the scenario above?,Action easy-com - How likely would you do something in the scenario above?,Action easy-com - How likely would you report to the professor that this student cheated after class?,Action easy-com - How likely would you anonymously report that this student cheated after class?,Action easy-com - How likely would you confront the cheating student at the end of the exam to suggest they confess?,"Are there other actions that you might take and are not listed above? If so, please elaborate in the box below.",frustrate easy-non - How frustrated do you feel about the cheating in the scenario above?,action easy-non - How likely would you do something in the scenario above?,action easy-non - How likely would you report to the professor that this student cheated after class?,action easy-non - How likely would you anonymously report that this student cheated after class?,action easy-non - How likely would you confront the cheating student at the end of the exam to suggest they confess?,"Are there other actions that you might take and are not listed above? If so, please elaborate in the box below."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID23_TEXT""}"
2018-04-03 11:59:45,2018-04-03 12:00:25,0,128.180.158.193,100,40,1,2018-04-03 12:00:25,R_4SLnR2VMVWcknkd,,,,,40.590194702148,-75.354698181152,anonymous,EN,3,2,3,3,3,,2,3,3,3,3,BKjh,6,2,3,3,3,K,5,3,3,3,2,nO
2018-04-03 12:02:48,2018-04-03 12:03:43,0,128.180.27.117,100,54,1,2018-04-03 12:03:43,R_1EbvBYxQwgmmunK,,,,,40.590194702148,-75.354698181152,anonymous,EN,1,1,1,1,1,n,1,1,1,1,1,n,1,1,1,1,1,n,1,1,1,1,1,n
2018-04-03 12:09:51,2018-04-03 12:17:04,0,128.180.27.90,100,433,1,2018-04-03 12:17:05,R_sBzy5GiZ14MBNXX,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,6,4,5,2,,5,5,5,5,5,,5,5,5,5,5,,4,5,5,5,5,
2018-04-05 10:58:24,2018-04-05 11:05:37,0,128.180.27.117,100,432,1,2018-04-05 11:05:37,R_3hziZa9ILMyUskS,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,6,6,6,4,,4,5,3,5,2,,5,4,4,5,4,,4,5,3,5,2,
2018-04-05 10:58:16,2018-04-05 11:05:56,0,128.180.27.144,100,459,1,2018-04-05 11:05:56,R_2zpRrGz22sYWJBc,,,,,40.590194702148,-75.354698181152,anonymous,EN,2,1,1,1,1,,1,1,1,1,1,,3,1,1,1,1,,2,1,1,1,1,
2018-04-05 10:58:30,2018-04-05 11:05:57,0,128.180.27.79,100,446,1,2018-04-05 11:05:57,R_1rlzwcpSTsXDK78,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,3,3,3,2,,6,1,1,1,1,,6,1,1,1,1,,6,1,1,1,1,
2018-04-05 10:58:48,2018-04-05 11:06:28,0,128.180.27.149,100,460,1,2018-04-05 11:06:29,R_2R7JI5r2iAQP7Ih,,,,,40.590194702148,-75.354698181152,anonymous,EN,4,2,2,2,2,,3,2,2,2,2,,3,2,2,2,2,,2,2,2,2,2,
2018-04-05 11:06:08,2018-04-05 11:08:34,0,128.180.27.117,100,146,1,2018-04-05 11:08:34,R_20MCMNBGQix4TQf,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,2,5,1,,6,2,3,5,1,,6,2,2,5,1,,3,1,3,3,1,
2018-04-05 11:09:00,2018-04-05 11:32:58,0,128.180.27.117,100,1438,1,2018-04-05 11:32:58,R_246pWQGvIk4OiLY,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,3,3,6,1,,7,3,3,6,1,,7,3,3,5,1,,7,3,3,4,1,
2018-04-05 11:09:20,2018-04-05 12:09:33,0,128.180.27.90,100,3613,1,2018-04-05 12:09:33,R_vjhUfoweGYqiArT,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,7,7,7,5,,7,7,7,7,5,,7,7,7,7,5,,7,7,7,7,5,Uncurved classes are still effectively curved. The value of your A is decreased when more people get A's. (See no free lunch - any economist ever)
2018-04-05 12:09:52,2018-04-05 12:11:56,0,128.180.27.90,100,124,1,2018-04-05 12:11:56,R_2zAfqspIUos0397,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,4,2,2,2,,5,1,2,2,2,,5,2,2,2,2,,2,2,2,2,2,
2018-04-05 12:13:09,2018-04-05 12:34:53,0,128.180.27.90,100,1303,1,2018-04-05 12:34:53,R_1rBOgvcuZ9BRfb0,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,1,2,6,1,,6,1,2,3,1,,7,1,2,4,1,,6,1,2,3,1,
2018-04-05 11:08:52,2018-04-05 12:35:55,0,128.180.27.79,100,5223,1,2018-04-05 12:35:55,R_2cjzAMmp4jUI3rz,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,2,2,2,,6,2,2,2,2,,5,1,1,1,1,,6,1,1,1,1,
2018-04-05 11:09:31,2018-04-05 12:37:03,0,128.180.27.144,100,5252,1,2018-04-05 12:37:04,R_roiZR3Upu0CjZHX,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,3,2,4,2,,5,3,2,3,2,,6,3,2,4,2,,4,3,2,3,2,
2018-04-05 11:50:36,2018-04-05 12:37:14,0,128.180.27.117,100,2798,1,2018-04-05 12:37:14,R_1MQb2XiQgrEFATT,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,3,4,2,,6,2,2,4,2,,5,2,2,3,2,,5,2,1,2,1,
2018-04-05 12:37:37,2018-04-05 12:50:43,0,128.180.27.90,100,785,1,2018-04-05 12:50:44,R_3hcgzoqsrpBL8H7,,,,,40.590194702148,-75.354698181152,anonymous,EN,5,3,2,5,1,,5,3,1,5,1,,5,2,1,4,1,,4,3,1,4,1,
2018-04-05 11:09:16,2018-04-05 12:59:12,0,128.180.27.149,100,6596,1,2018-04-05 12:59:12,R_2CBrdhl3kK7mwJQ,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,4,4,7,2,,5,2,2,5,1,,6,3,3,5,1,,4,2,2,3,1,
2018-04-05 12:55:55,2018-04-05 12:59:33,0,128.180.27.90,100,218,1,2018-04-05 12:59:33,R_zUxlOZ6OPtK4SzL,,,,,40.590194702148,-75.354698181152,anonymous,EN,3,2,1,2,1,,2,1,1,2,1,,2,1,1,2,1,,2,1,2,3,1,
2018-04-05 13:00:21,2018-04-05 13:04:18,0,128.180.27.117,100,236,1,2018-04-05 13:04:18,R_2D2C6ur2YvmdGgD,,,,,40.590194702148,-75.354698181152,anonymous,EN,5,2,1,3,1,,4,1,1,2,1,,4,1,1,2,1,,3,2,1,2,1,
