"subject","difficulty","curve","question_number","action","frustrate"
4,"diff","com","1",6,6
4,"diff","com","2",6,NA
4,"diff","com","3",6,NA
4,"diff","com","4",4,NA
4,"diff","non","1",5,4
4,"diff","non","2",3,NA
4,"diff","non","3",5,NA
4,"diff","non","4",2,NA
4,"easy","com","1",4,5
4,"easy","com","2",4,NA
4,"easy","com","3",5,NA
4,"easy","com","4",4,NA
4,"easy","non","1",5,4
4,"easy","non","2",3,NA
4,"easy","non","3",5,NA
4,"easy","non","4",2,NA
5,"diff","com","1",1,2
5,"diff","com","2",1,NA
5,"diff","com","3",1,NA
5,"diff","com","4",1,NA
5,"diff","non","1",1,1
5,"diff","non","2",1,NA
5,"diff","non","3",1,NA
5,"diff","non","4",1,NA
5,"easy","com","1",1,3
5,"easy","com","2",1,NA
5,"easy","com","3",1,NA
5,"easy","com","4",1,NA
5,"easy","non","1",1,2
5,"easy","non","2",1,NA
5,"easy","non","3",1,NA
5,"easy","non","4",1,NA
6,"diff","com","1",3,7
6,"diff","com","2",3,NA
6,"diff","com","3",3,NA
6,"diff","com","4",2,NA
6,"diff","non","1",1,6
6,"diff","non","2",1,NA
6,"diff","non","3",1,NA
6,"diff","non","4",1,NA
6,"easy","com","1",1,6
6,"easy","com","2",1,NA
6,"easy","com","3",1,NA
6,"easy","com","4",1,NA
6,"easy","non","1",1,6
6,"easy","non","2",1,NA
6,"easy","non","3",1,NA
6,"easy","non","4",1,NA
7,"diff","com","1",2,4
7,"diff","com","2",2,NA
7,"diff","com","3",2,NA
7,"diff","com","4",2,NA
7,"diff","non","1",2,3
7,"diff","non","2",2,NA
7,"diff","non","3",2,NA
7,"diff","non","4",2,NA
7,"easy","com","1",2,3
7,"easy","com","2",2,NA
7,"easy","com","3",2,NA
7,"easy","com","4",2,NA
7,"easy","non","1",2,2
7,"easy","non","2",2,NA
7,"easy","non","3",2,NA
7,"easy","non","4",2,NA
8,"diff","com","1",2,6
8,"diff","com","2",2,NA
8,"diff","com","3",5,NA
8,"diff","com","4",1,NA
8,"diff","non","1",2,6
8,"diff","non","2",3,NA
8,"diff","non","3",5,NA
8,"diff","non","4",1,NA
8,"easy","com","1",2,6
8,"easy","com","2",2,NA
8,"easy","com","3",5,NA
8,"easy","com","4",1,NA
8,"easy","non","1",1,3
8,"easy","non","2",3,NA
8,"easy","non","3",3,NA
8,"easy","non","4",1,NA
9,"diff","com","1",3,7
9,"diff","com","2",3,NA
9,"diff","com","3",6,NA
9,"diff","com","4",1,NA
9,"diff","non","1",3,7
9,"diff","non","2",3,NA
9,"diff","non","3",6,NA
9,"diff","non","4",1,NA
9,"easy","com","1",3,7
9,"easy","com","2",3,NA
9,"easy","com","3",5,NA
9,"easy","com","4",1,NA
9,"easy","non","1",3,7
9,"easy","non","2",3,NA
9,"easy","non","3",4,NA
9,"easy","non","4",1,NA
10,"diff","com","1",7,7
10,"diff","com","2",7,NA
10,"diff","com","3",7,NA
10,"diff","com","4",5,NA
10,"diff","non","1",7,7
10,"diff","non","2",7,NA
10,"diff","non","3",7,NA
10,"diff","non","4",5,NA
10,"easy","com","1",7,7
10,"easy","com","2",7,NA
10,"easy","com","3",7,NA
10,"easy","com","4",5,NA
10,"easy","non","1",7,7
10,"easy","non","2",7,NA
10,"easy","non","3",7,NA
10,"easy","non","4",5,NA
11,"diff","com","1",4,6
11,"diff","com","2",2,NA
11,"diff","com","3",2,NA
11,"diff","com","4",2,NA
11,"diff","non","1",1,5
11,"diff","non","2",2,NA
11,"diff","non","3",2,NA
11,"diff","non","4",2,NA
11,"easy","com","1",2,5
11,"easy","com","2",2,NA
11,"easy","com","3",2,NA
11,"easy","com","4",2,NA
11,"easy","non","1",2,2
11,"easy","non","2",2,NA
11,"easy","non","3",2,NA
11,"easy","non","4",2,NA
12,"diff","com","1",1,7
12,"diff","com","2",2,NA
12,"diff","com","3",6,NA
12,"diff","com","4",1,NA
12,"diff","non","1",1,6
12,"diff","non","2",2,NA
12,"diff","non","3",3,NA
12,"diff","non","4",1,NA
12,"easy","com","1",1,7
12,"easy","com","2",2,NA
12,"easy","com","3",4,NA
12,"easy","com","4",1,NA
12,"easy","non","1",1,6
12,"easy","non","2",2,NA
12,"easy","non","3",3,NA
12,"easy","non","4",1,NA
13,"diff","com","1",2,6
13,"diff","com","2",2,NA
13,"diff","com","3",2,NA
13,"diff","com","4",2,NA
13,"diff","non","1",2,6
13,"diff","non","2",2,NA
13,"diff","non","3",2,NA
