"subject","block","trial","rt","switch","error","taskcode"
"1",1,1,9889,1,1,"life"
"1",1,2,1439,0,0,"life"
"1",1,3,1029,0,0,"life"
"1",1,4,766,0,0,"life"
"1",1,5,1952,1,0,"valence"
"1",1,6,1891,1,0,"life"
"1",1,7,902,0,0,"life"
"1",1,8,2131,1,0,"valence"
"1",1,9,4799,1,0,"life"
"1",1,10,1436,0,0,"life"
"1",1,11,1507,1,0,"valence"
"1",1,12,1526,0,0,"valence"
"1",1,13,4378,1,0,"life"
"1",1,14,2393,0,0,"life"
"1",1,15,1802,1,0,"valence"
"1",1,16,2498,1,0,"life"
"1",1,17,989,0,1,"life"
"1",1,18,2789,1,0,"valence"
"1",1,19,1653,0,0,"valence"
"1",1,20,1860,1,0,"life"
"1",1,21,1129,0,0,"life"
"1",1,22,1261,0,0,"life"
"1",1,23,1181,0,0,"life"
"1",1,24,1725,1,0,"valence"
"1",1,25,1865,0,0,"valence"
"1",1,26,2128,1,0,"life"
"1",1,27,4827,1,0,"valence"
"1",1,28,1062,0,0,"valence"
"1",1,29,3180,1,0,"life"
"1",1,30,2124,1,0,"valence"
"1",1,31,2568,1,0,"life"
"1",1,32,624,0,0,"life"
"1",1,33,1464,1,0,"valence"
"1",1,34,1006,0,0,"valence"
"1",1,35,887,1,0,"life"
"1",1,36,612,0,0,"life"
"1",1,37,1180,1,0,"valence"
"1",1,38,815,1,0,"life"
"1",1,39,832,0,0,"life"
"1",1,40,607,0,0,"life"
"1",1,41,711,0,0,"life"
"1",1,42,1629,1,0,"valence"
"1",1,43,1884,0,1,"valence"
"1",1,44,1841,0,0,"valence"
"1",1,45,2166,0,0,"valence"
"1",1,46,1201,0,0,"valence"
"1",1,47,1136,0,1,"valence"
"1",1,48,756,0,0,"valence"
"1",1,49,1094,1,0,"life"
"1",1,50,876,1,0,"valence"
"1",1,51,922,1,0,"life"
"1",1,52,1205,1,0,"valence"
"1",1,53,646,1,0,"life"
"1",1,54,687,0,0,"life"
"1",1,55,1555,1,0,"valence"
"1",1,56,646,0,0,"valence"
"1",1,57,1149,0,0,"valence"
"1",1,58,817,0,0,"valence"
"1",1,59,1168,0,0,"valence"
"1",1,60,1026,1,0,"life"
"1",1,61,3433,0,0,"life"
"1",1,62,2015,1,0,"valence"
"1",1,63,767,1,0,"life"
"1",1,64,753,0,0,"life"
"1",1,65,979,1,0,"valence"
"1",1,66,1342,1,0,"life"
"1",1,67,1896,1,0,"valence"
"1",1,68,2846,1,0,"life"
"1",1,69,2043,1,1,"valence"
"1",1,70,985,0,0,"valence"
"1",1,71,818,1,0,"life"
"1",1,72,4130,0,0,"life"
"1",1,73,1115,1,0,"valence"
"1",1,74,703,0,0,"valence"
"1",1,75,1268,0,1,"valence"
"1",1,76,833,0,0,"valence"
"1",1,77,1122,0,0,"valence"
"1",1,78,1445,0,0,"valence"
"1",2,1,7822,1,0,"life"
